iso3,country,language,web_pct,primary,primary_web_share_total_pct,all_listed_share_total_pct
GHA,Ghana,Ga,,1,0.0004,40.5804
GHA,Ghana,Dagaare,,1,0.0004,40.5804
GHA,Ghana,Nzema,,1,0.0004,40.5804
GHA,Ghana,Gonja,,1,0.0004,40.5804
GRC,Greece,Greek,0.56,1,1.948,1.948
GRC,Greece,Turkish,1.35,1,1.948,1.948
GRC,Greece,Macedonian,0.038,1,1.948,1.948
GRC,Greece,Arvanitika,,1,1.948,1.948
GRC,Greece,Pontic Greek,,1,1.948,1.948
GRC,Greece,Aromanian,,1,1.948,1.948
GRC,Greece,Ladino (Judaeo-Spanish),,1,1.948,1.948
GRC,Greece,Romani,,1,1.948,1.948
HUN,Hungary,Hungarian,0.53,1,7.72,7.72
HUN,Hungary,German,5.99,1,7.72,7.72
HUN,Hungary,Romani,,1,7.72,7.72
HUN,Hungary,Croatian,0.22,1,7.72,7.72
HUN,Hungary,Slovak,0.41,1,7.72,7.72
HUN,Hungary,Romanian,0.57,1,7.72,7.72
HUN,Hungary,Serbian,,1,7.72,7.72
IDN,Indonesia,Indonesian,1.09,1,1.0929,1.0929
IDN,Indonesia,Javanese,0.0029,1,1.0929,1.0929
IDN,Indonesia,Sundanese,,1,1.0929,1.0929
IDN,Indonesia,Madurese,,1,1.0929,1.0929
IDN,Indonesia,Minangkabau,,1,1.0929,1.0929
IDN,Indonesia,Buginese,,1,1.0929,1.0929
IDN,Indonesia,Batak Toba,,1,1.0929,1.0929
IDN,Indonesia,Balinese,,1,1.0929,1.0929
IND,India,English,40.58,0,0.4762,41.0562
IND,India,Hindi,0.22,1,0.4762,41.0562
IND,India,Bengali,0.11,1,0.4762,41.0562
IND,India,Marathi,0.03,1,0.4762,41.0562
IND,India,Telugu,0.02,1,0.4762,41.0562
IND,India,Tamil,0.049,1,0.4762,41.0562
IND,India,Gujarati,0.0142,1,0.4762,41.0562
IND,India,Urdu,0.033,1,0.4762,41.0562
IRL,Ireland,Irish,0.0063,0,40.58,40.5863
IRL,Ireland,English,40.58,1,40.58,40.5863
IRL,Ireland,Ulster Scots,,1,40.58,40.5863
IRL,Ireland,Shelta,,1,40.58,40.5863
IRN,Iran,Persian,0.7,1,1.4184,1.4184
IRN,Iran,Azerbaijani,0.062,1,1.4184,1.4184
IRN,Iran,Kurdish,0.0064,1,1.4184,1.4184
IRN,Iran,Gilaki,,1,1.4184,1.4184
IRN,Iran,Mazandarani,,1,1.4184,1.4184
IRN,Iran,Luri-Bakhtiari,,1,1.4184,1.4184
IRN,Iran,Balochi,,1,1.4184,1.4184
IRN,Iran,Arabic,0.65,1,1.4184,1.4184
IRQ,Iraq,Arabic,0.65,1,0.6904,0.6904
IRQ,Iraq,Kurdish (Sorani),0.0064,1,0.6904,0.6904
IRQ,Iraq,Turkmen,,1,0.6904,0.6904
IRQ,Iraq,Neo-Aramaic (Assyrian),,1,0.6904,0.6904
IRQ,Iraq,Armenian,0.034,1,0.6904,0.6904
ISR,Israel,Hebrew,0.25,1,0.9016,0.9016
ISR,Israel,Arabic,0.65,1,0.9016,0.9016
ISR,Israel,Yiddish,0.0016,1,0.9016,0.9016
ITA,Italy,Italian,2.49,1,2.49,2.49
ITA,Italy,Sicilian,,1,2.49,2.49
ITA,Italy,Venetian,,1,2.49,2.49
ITA,Italy,Neapolitan,,1,2.49,2.49
ITA,Italy,Lombard,,1,2.49,2.49
ITA,Italy,Piedmontese,,1,2.49,2.49
ITA,Italy,Sardinian,,1,2.49,2.49
ITA,Italy,Friulian,,1,2.49,2.49
JPN,Japan,Japanese,5.32,1,5.32,5.32
JPN,Japan,Ainu,,1,5.32,5.32
JPN,Japan,Okinawan,,1,5.32,5.32
JPN,Japan,Amami,,1,5.32,5.32
JPN,Japan,Kunigami,,1,5.32,5.32
JPN,Japan,Miyako,,1,5.32,5.32
JPN,Japan,Yaeyama,,1,5.32,5.32
JPN,Japan,Yonaguni,,1,5.32,5.32
KAZ,Kazakhstan,Kazakh,0.047,1,6.9009,6.9009
KAZ,Kazakhstan,Russian,6.82,1,6.9009,6.9009
KAZ,Kazakhstan,Uzbek,0.031,1,6.9009,6.9009
KAZ,Kazakhstan,Uyghur,0.0029,1,6.9009,6.9009
KAZ,Kazakhstan,Dungan,,1,6.9009,6.9009
KAZ,Kazakhstan,Ili Turki,,1,6.9009,6.9009
KAZ,Kazakhstan,Ingush,,1,6.9009,6.9009
KEN,Kenya,English,40.58,0,0.0172,40.5972
KEN,Kenya,Swahili,0.0117,1,0.0172,40.5972
KEN,Kenya,Kikuyu,,1,0.0172,40.5972
KEN,Kenya,Luhya,,1,0.0172,40.5972
KEN,Kenya,Kamba,,1,0.0172,40.5972
KEN,Kenya,Dholuo,,1,0.0172,40.5972
KEN,Kenya,Kalenjin,,1,0.0172,40.5972
KEN,Kenya,Somali,0.0055,1,0.0172,40.5972
KOR,South Korea,Korean,0.84,1,0.84,0.84
KOR,South Korea,Jeju,,1,0.84,0.84
KOR,South Korea,Korean Sign Language,,1,0.84,0.84
LKA,Sri Lanka,Sinhala,0.0094,1,0.0584,0.0584
LKA,Sri Lanka,Tamil,0.049,1,0.0584,0.0584
LKA,Sri Lanka,Sri Lankan Malay,,1,0.0584,0.0584
LKA,Sri Lanka,Vedda,,1,0.0584,0.0584
MAR,Morocco,Modern Standard Arabic,0.65,1,0.65,5.45
MAR,Morocco,French,4.8,0,0.65,5.45
MAR,Morocco,Standard Moroccan Amazigh,,1,0.65,5.45
MAR,Morocco,Moroccan Arabic (Darija),,1,0.65,5.45
MAR,Morocco,Tashelhit,,1,0.65,5.45
MAR,Morocco,Central Atlas Tamazight,,1,0.65,5.45
MAR,Morocco,Tarifit,,1,0.65,5.45
MAR,Morocco,Hassaniya Arabic,,1,0.65,5.45
MDG,Madagascar,Malagasy,0.0034,1,0.0034,4.8034
MDG,Madagascar,French,4.8,0,0.0034,4.8034
MEX,Mexico,Spanish,4.64,1,4.64,4.64
MEX,Mexico,Nahuatl,,1,4.64,4.64
MEX,Mexico,Yucatec Maya,,1,4.64,4.64
MEX,Mexico,Tzeltal,,1,4.64,4.64
MEX,Mexico,Tzotzil,,1,4.64,4.64
MEX,Mexico,Mixtec,,1,4.64,4.64
MEX,Mexico,Zapotec,,1,4.64,4.64
MEX,Mexico,Otomi,,1,4.64,4.64
MLI,Mali,French,4.8,0,0,4.8
MLI,Mali,Bambara,,1,0,4.8
MLI,Mali,Fulfulde,,1,0,4.8
MLI,Mali,Dogon,,1,0,4.8
MLI,Mali,Soninke,,1,0,4.8
MLI,Mali,Songhay,,1,0,4.8
MLI,Mali,Tamasheq,,1,0,4.8
MLI,Mali,Senufo,,1,0,4.8
MMR,Myanmar,Burmese,0.017,1,0.017,0.017
MMR,Myanmar,Shan,,1,0.017,0.017
MMR,Myanmar,Karen,,1,0.017,0.017
MMR,Myanmar,Kachin,,1,0.017,0.017
MMR,Myanmar,Chin,,1,0.017,0.017
MMR,Myanmar,Mon,,1,0.017,0.017
MNG,Mongolia,Mongolian (Khalkha),0.016,1,0.063,0.063
MNG,Mongolia,Kazakh,0.047,1,0.063,0.063
MNG,Mongolia,Buriat Mongolian,,1,0.063,0.063
MNG,Mongolia,Oirat (Western Mongolian),,1,0.063,0.063
MNG,Mongolia,Tuvan,,1,0.063,0.063
MOZ,Mozambique,Portuguese,2.52,0,0,2.52
MOZ,Mozambique,Emakhuwa,,1,0,2.52
MOZ,Mozambique,Xitsonga,,1,0,2.52
MOZ,Mozambique,Cisena,,1,0,2.52
MOZ,Mozambique,Elomwe,,1,0,2.52
MOZ,Mozambique,Echuwabo,,1,0,2.52
MOZ,Mozambique,Cindau,,1,0,2.52
MOZ,Mozambique,XiTswa,,1,0,2.52
MYS,Malaysia,Malay,0.09,1,0.1419,0.1419
MYS,Malaysia,Tamil,0.049,1,0.1419,0.1419
MYS,Malaysia,Hokkien,,1,0.1419,0.1419
MYS,Malaysia,Cantonese,,1,0.1419,0.1419
MYS,Malaysia,Hakka,,1,0.1419,0.1419
MYS,Malaysia,Iban,,1,0.1419,0.1419
MYS,Malaysia,Teochew,,1,0.1419,0.1419
MYS,Malaysia,Javanese,0.0029,1,0.1419,0.1419
NER,Niger,Hausa,0.0026,1,0.6526,5.4526
NER,Niger,Arabic,0.65,1,0.6526,5.4526
NER,Niger,French,4.8,0,0.6526,5.4526
NER,Niger,Zarma-Songhai,,1,0.6526,5.4526
NER,Niger,Fulfulde,,1,0.6526,5.4526
NER,Niger,Tamasheq,,1,0.6526,5.4526
NER,Niger,Kanuri,,1,0.6526,5.4526
NER,Niger,Tebu,,1,0.6526,5.4526
NGA,Nigeria,English,40.58,0,0.0054,40.5854
NGA,Nigeria,Hausa,0.0026,1,0.0054,40.5854
NGA,Nigeria,Yoruba,0.0016,1,0.0054,40.5854
NGA,Nigeria,Igbo,0.0012,1,0.0054,40.5854
NGA,Nigeria,Nigerian Pidgin,,1,0.0054,40.5854
NGA,Nigeria,Fulfulde,,1,0.0054,40.5854
NGA,Nigeria,Kanuri,,1,0.0054,40.5854
NGA,Nigeria,Ibibio,,1,0.0054,40.5854
NLD,Netherlands,Dutch,1.82,1,1.8239,42.4039
NLD,Netherlands,English,40.58,0,1.8239,42.4039
NLD,Netherlands,West Frisian,0.0023,1,1.8239,42.4039
NLD,Netherlands,Yiddish,0.0016,1,1.8239,42.4039
NLD,Netherlands,Dutch Low Saxon,,1,1.8239,42.4039
NLD,Netherlands,Limburgish,,1,1.8239,42.4039
NLD,Netherlands,Romani,,1,1.8239,42.4039
NLD,Netherlands,Dutch Sign Language,,1,1.8239,42.4039
NLD,Netherlands,Papiamento,,1,1.8239,42.4039
NOR,Norway,Norwegian (Bokmal),0.34,1,0.354,0.354
NOR,Norway,Norwegian (Nynorsk),0.014,1,0.354,0.354
NOR,Norway,Northern Sami,,1,0.354,0.354
NOR,Norway,Kven Finnish,,1,0.354,0.354
NOR,Norway,Norwegian Traveller (Romani),,1,0.354,0.354
NPL,Nepal,Nepali,0.061,1,0.061,0.061
NPL,Nepal,Maithili,,1,0.061,0.061
NPL,Nepal,Bhojpuri,,1,0.061,0.061
NPL,Nepal,Tharu,,1,0.061,0.061
NPL,Nepal,Tamang,,1,0.061,0.061
NPL,Nepal,Newari (Nepal Bhasha),,1,0.061,0.061
NPL,Nepal,Magar,,1,0.061,0.061
NPL,Nepal,Awadhi,,1,0.061,0.061
NZL,New Zealand,English,40.58,1,40.58,40.5818
NZL,New Zealand,Maori,0.0018,0,40.58,40.5818
NZL,New Zealand,New Zealand Sign Language,,1,40.58,40.5818
